clues|clavedelainstitucion|nombredelainstitucion|clavedelaentidad|entidad|clavedelmunicipio|municipio|clavedelalocalidad|localidad|clavedelajurisdiccion|jurisdiccion|clavedeltipoestablecimiento|nombretipoestablecimiento|clavedetipologia|nombredetipologia|clavedesubtipologia|nombredesubtipologia|nombredelaunidad|nombrecomercial|clavetipodevialidad|tipodevialidad|vialidad|numeroexterior|numerointerior|clavetipodeasentamiento|tipodeasentamiento|asentamiento|codigopostal|referenciasdeldomicilio|claveestatusdeoperacion|estatusdeoperacion|rfcdelestablecimiento|telefono1delestablecimiento|extensiontelefonica1delestab|telefono2delestablecimiento|extensiontelefonica2delestab|fechadeconstruccion|fechadeiniciodeoperacion|claveunidadmovilmarca|unidadmovilmarca|unidadmovilmarcaespecifica|unidadmovilmodelo|claveunidadmovilprograma|unidadmovilprograma|claveunidadmoviltipo|unidadmoviltipo|claveunidadmoviltipologia|unidadmoviltipologia|clavedelainsadm|nombredelainsadm|clavenivelatencion|nivelatencion|claveestratounidad|estratounidad|clavetipoobra|tipoobra|clavepropiedaddelinmueble|propiedaddelinmueble|observacionesalregistro|latitud|longitud|claveultimomovimiento|ultimomovimiento|fechaultimomovimiento|comentariosdelavalidacion|clavemotivobaja|motivobaja|fechaefectivadebaja
ASSSA001116|SSA|SECRETARIA DE SALUD|01|AGUASCALIENTES|001|AGUASCALIENTES|0001|AGUASCALIENTES|01|AGUASCALIENTES|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES AGUASCALIENTES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES AGUASCALIENTES|5|CALLE|ARTILLERO MIER|905||16|FRACCIONAMIENTO|MORELOS I|20298|ATRÁS DE HOSPITAL DE LA MUJER Y TERCER MILENIO|1|EN OPERACION|ISS880101GF1|4499771558||||01/02/2002|14/12/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|5|OTRA|1|PROPIO|CAMBIO. SE ACTUALIZÓ EL DOMICILIO YA QUE SE QUITARON LAS ABREVIATURAS A COLONIA Y CIUDAD. SE ACTUALIZÓ EL C.P. DEBIDO A QUE SE VERIFICARÓN LOS CÓDIGOS POSTALES EN CORREOS DE MÉXICO Y ESTE ES EL CORRECTO.. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|21.85722|-102.25397|B|MODIFICACION|15/11/2012||||
ASSSA001121|SSA|SECRETARIA DE SALUD|01|AGUASCALIENTES|007|RINCON DE ROMOS|0001|RINCON DE ROMOS|02|RINCÓN DE ROMOS|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES RINCÓN DE ROMOS|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES RINCÓN DE ROMOS|5|CALLE|OCTLI|602||16|FRACCIONAMIENTO|ESTANCIA DE CHORA|20404|NO ESPECIFICADO|1|EN OPERACION|ISS880101GF1|4658514277||||01/03/2007|01/10/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|5|OTRA|1|PROPIO|CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|22.23365|-102.30974|B|MODIFICACION|17/05/2017||||
ASSSA001133|SSA|SECRETARIA DE SALUD|01|AGUASCALIENTES|003|CALVILLO|0001|CALVILLO|03|CALVILLO|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CALVILLO|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CALVILLO|24|CARRETERA|A AGUASCALIENTES|718||16|FRACCIONAMIENTO|VALLE DE HUEJUCAR|20805|NO ESPECIFICADO|1|EN OPERACION|ISS880101GF1|4959567074||||14/08/2007|05/02/2009|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|5|OTRA|1|PROPIO|APROBADA CONFORME A DOCUMENTOS ENVIADOS POR EL INSTITUTO DE SERVICIOS DE SALUD DE AGUASCALIENTES. ACTUALIZA EL NÚMERO EXTERIOR YA QUE EL MUNICIPIO ASÍ LO HA MODIFICADO. SE ANEXA CONSTANCIA DE NÚMERO OFICIAL. . CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|21.8308|-102.7535|B|MODIFICACION|24/03/2022||||
ASSSA001145|SSA|SECRETARIA DE SALUD|01|AGUASCALIENTES|005|JESUS MARIA|0001|JESUS MARIA|01|AGUASCALIENTES|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JESÚS MARÍA|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES JESÚS MARÍA|2|ANDADOR|UXMAL|300||7|COLONIA|LOMAS DE JESÚS MARÍA|20925|NO ESPECIFICADO|1|EN OPERACION|ISS880101GF1|4499635530||||14/08/2007|14/12/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|5|OTRA|1|PROPIO|SE ACTUALIZA EL NOMBRE DE RESPONSABLE DE LA UNIDAD YA QUE HUBO CAMBIO DE DIRECTOR. . CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|21.95193|-102.34286|B|MODIFICACION|30/07/2014||||
BCSSA018104|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|002|MEXICALI|0001|MEXICALI|01|MEXICALI|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTORALES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTORALES|5|CALLE|CONTINENTE EUROPEO |SIN NÚMERO||7|COLONIA|VALLE DE LAS MISISONES|21138|CALZADA CONTINENTE EUROPEO ENTRE ARROYO HUATAMOTE Y DEL REFUGIO, COL. VALLE DE LAS MISISONES|1|EN OPERACION|ISS971219J53|6865764847||||01/07/2007|01/07/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.634714|-115.5608451|B|MODIFICACION|05/07/2016||||
BCSSA018116|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|002|MEXICALI|0001|MEXICALI|01|MEXICALI|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ORIZABA|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ORIZABA|5|CALLE|ESPAÑA|SIN NÚMERO||7|COLONIA|ORIZABA|21160|ESPAÑA ENTRE BIRMANIA Y CELIAN S/N, COL. ORIZABA|1|EN OPERACION|ISS971219J53|6865567537||||01/10/2007|01/10/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.6368216|-115.5161287|B|MODIFICACION|05/07/2016||||
BCSSA018121|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|002|MEXICALI|0001|MEXICALI|01|MEXICALI|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GONZÁLEZ ORTEGA|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GONZÁLEZ ORTEGA|5|CALLE|RÍO NAZAS|SIN NÚMERO||7|COLONIA|GONZÁLEZ ORTEGA|21396|RÍO NAZAS ENTRE 7MA Y 8VA, COL. GONZÁLEZ ORTEGA|1|EN OPERACION|ISS971219J53|6865611344||||01/08/2007|01/08/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.6032364|-115.3912158|B|MODIFICACION|05/07/2016||||
BCSSA018133|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|002|MEXICALI|0001|MEXICALI|01|MEXICALI|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CIPRÉS|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CIPRÉS|5|CALLE|CAHOVA|SIN NÚMERO||7|COLONIA|EL CIPRES|21384|CAHOVA Y GARDENIA, COL. EL CIPRES|1|EN OPERACION|ISS971219J53|6865635711||||01/11/2007|01/11/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.5738247|-115.4050687|B|MODIFICACION|05/07/2016||||
BCSSA018162|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|004|TIJUANA|0001|TIJUANA|02|TIJUANA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES LOMAS VERDES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES LOMAS VERDES|5|CALLE|LOMA BONITA|SIN NÚMERO|MANZANA 3|7|COLONIA|LOMAS VERDES|22127|LOMA BONITA S/N MZNA.3, COL. LOMAS VERDES|1|EN OPERACION|ISS971219J53|6649061316||||01/08/2007|01/08/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ALTA. UNIDAD NUEVA. SE SOLICITA LA CLUES DE LA UNIDAD PARA PODER ACREDITAR LA UNIDAD. EN 2006 SE CONTABA CON 5 CENTROS ESTATALES: CENTRO CÍVICO MEXICALI, ZONA CENTRO TIJUANA, ROSARITO CENTRO Y ENSENADA CENTRO Y TECATE. ESTOS PASARON A SER CENTROS NUEVA VI. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.4762004|-116.9382959|A|ALTA|05/12/2011||||
BCSSA018174|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|004|TIJUANA|0001|TIJUANA|02|TIJUANA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES DURANGO LA MESA|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES DURANGO LA MESA|5|CALLE|DEL CANAL|SIN NÚMERO||7|COLONIA|LOMAS|22117|DEL CANAL S/N|1|EN OPERACION|ISS971219J53|6646869200||||01/11/2007|01/11/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ALTA. UNIDAD NUEVA. SE SOLICITA LA CLUES DE LA UNIDAD PARA PODER ACREDITAR LA UNIDAD. EN 2006 SE CONTABA CON 5 CENTROS ESTATALES: CENTRO CÍVICO MEXICALI, ZONA CENTRO TIJUANA, ROSARITO CENTRO Y ENSENADA CENTRO Y TECATE. ESTOS PASARON A SER CENTROS NUEVA VI. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.5217|-117.066|A|ALTA|05/12/2011||||
BCSSA018191|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|004|TIJUANA|0001|TIJUANA|02|TIJUANA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VALLE VERDE|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VALLE VERDE|5|CALLE|DEL PEÑÓN|SIN NÚMERO||7|COLONIA|VALLE VERDE|22204|DEL PEÑÓN S/N, COL. VALLE VERDE|1|EN OPERACION|ISS971219J53|6642115428||||01/11/2007|01/11/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|4|REHABILITACION|3|DE COMODATO|ALTA. UNIDAD NUEVA. SE SOLICITA LA CLUES DE LA UNIDAD PARA PODER ACREDITAR LA UNIDAD. EN 2006 SE CONTABA CON 5 CENTROS ESTATALES: CENTRO CÍVICO MEXICALI, ZONA CENTRO TIJUANA, ROSARITO CENTRO Y ENSENADA CENTRO Y TECATE. ESTOS PASARON A SER CENTROS NUEVA VI. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.5185168|-116.8731102|A|ALTA|05/12/2011||||
BCSSA018215|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|005|PLAYAS DE ROSARITO|0001|PLAYAS DE ROSARITO|02|TIJUANA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ROSARITO CHULA VISTA|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ROSARITO CHULA VISTA|5|CALLE|VISTA PANPRAMIZA|SIN NÚMERO|LOTE 1 MAZANA 107|7|COLONIA|CHULA VISTA|22707|VISTA PANPRAMIZA LOTE 1 MZNA.107 S/N, COL. CHULA VISTA|1|EN OPERACION|ISS971219J53|6616126225||||01/11/2007|01/11/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ALTA. UNIDAD NUEVA. SE SOLICITA LA CLUES DE LA UNIDAD PARA PODER ACREDITAR LA UNIDAD. EN 2006 SE CONTABA CON 5 CENTROS ESTATALES: CENTRO CÍVICO MEXICALI, ZONA CENTRO TIJUANA, ROSARITO CENTRO Y ENSENADA CENTRO Y TECATE. ESTOS PASARON A SER CENTROS NUEVA VI. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|32.3611672|-117.0520656|A|ALTA|05/12/2011||||
BCSSA018220|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|001|ENSENADA|0001|ENSENADA|03|ENSENADA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SAUZAL|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SAUZAL|5|CALLE|CRISANTEMO ENTRE SEGUNDA|SIN NÚMERO||7|COLONIA|EL SAUZAL|22760|CRISANTEMO ENTRE SEGUNDA Y BUGAMBILIA S/N, COL. EL SAUZAL|1|EN OPERACION|ISS971219J53|6461747755||||01/06/2007|01/06/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|4|REHABILITACION|3|DE COMODATO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|31.8904503|-116.688084|B|MODIFICACION|22/06/2016||||
BCSSA018232|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|001|ENSENADA|0139|RODOLFO SANCHEZ TABOADA (MANEADERO)|03|ENSENADA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES MANEADERO|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES MANEADERO|24|CARRETERA|CARRETERA TRANSPENINSULAR KM. 20|SIN NÚMERO||7|COLONIA|MANEADERO|22790|CARRETERA TRANSPENINSULAR S/N KM 20, COL. MANEADERO|1|EN OPERACION|ISS971219J53|6461549562||||01/06/2007|01/06/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|31.7193296|-116.5727947|B|MODIFICACION|22/06/2016||||
BCSSA018244|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|001|ENSENADA|0001|ENSENADA|03|ENSENADA|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CHAPULTEPEC|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CHAPULTEPEC|5|CALLE|FRANCISCO CHÁVEZ NEGRETE Y CERRADA|SIN NÚMERO||7|COLONIA|EX EJIDO CHAPULTEPEC|22785|FRANCISCO CHÁVEZ NEGRETE Y CALLE CERRADA S/N, COL. EX EJIDO CHAPULTEPEC|1|EN OPERACION|ISS971219J53|6461736674||||01/06/2007|01/06/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|4|REHABILITACION|3|DE COMODATO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|31.782325|-116.597003|B|MODIFICACION|22/06/2016||||
BCSSA018261|SSA|SECRETARIA DE SALUD|02|BAJA CALIFORNIA|006|SAN QUINTIN|0863|VICENTE GUERRERO|04|VICENTE GUERRERO|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VICENTE GUERRERO|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VICENTE GUERRERO|5|CALLE|VICENTE GUERRERO|SIN NÚMERO||7|COLONIA|VICENTE GUERRERO|22920|SANTO DOMINGO Y VICENTE GUERRERO, COL. VICENTE GUERRERO|1|EN OPERACION|ISS971219J53|6161662747||||01/08/2007|01/08/2008|||||||||||SESA|SECRETARIA DE SALUD ESTATAL|1|PRIMER NIVEL|2|URBANO|1|OBRA NUEVA|1|PROPIO|ACTUALIZACION DE DATOS DE LATITUD Y LONGITUD. CAMBIO/AJUSTE DE SUBTIPOLOGÍA Y NOMBRE SOLICITADO POR CONADIC CON BASE EN NUEVO MODELO TRABAJADO CONJUNTAMENTE CON DGPLADES. ENVÍAN OFICIO DE SOLICITUD POR PARTE DEL COMISIONADO DE CONADIC DR. GADY ZABICKY SIROT. CAMBIO REALIZADO EL 23/03/2023|30.7303|-115.994|B|MODIFICACION|22/06/2016||||
BSIMB000561|IMB|SERVICIOS DE SALUD IMSS BIENESTAR |03|BAJA CALIFORNIA SUR|001|COMONDU|0001|CIUDAD CONSTITUCION|01|COMONDÚ|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES COMUNDÚ|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES COMUNDÚ|5|CALLE|SANTO DOMINGO|SIN NÚMERO||16|FRACCIONAMIENTO|CONJUNTO URBANO DEL SUR|23677|ENTRE CALLE ISLA MARGARITA Y CALLE SIN NOMBRE|1|EN OPERACION|SSI220901JS5|6131321130||||10/01/2008|10/10/2008|||||||||||IMB|SERVICIOS DE SALUD IMSS BIENESTAR |1|PRIMER NIVEL|2|URBANO|6|SIN MODIFICACION|1|PROPIO|ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.|25.022369|-111.65462|A|ALTA|18/07/2024|ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.|||
BSIMB000573|IMB|SERVICIOS DE SALUD IMSS BIENESTAR |03|BAJA CALIFORNIA SUR|002|MULEGE|0066|GUERRERO NEGRO|02|MULEGÉ|1|DE CONSULTA EXTERNA|UNE|UNIDAD DE ESPECIALIDADES MÉDICAS (UNEMES)|UNE15|UNEMES DE SALUD MENTAL Y ADICCIONES|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GUERRERO NEGRO|CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GUERRERO NEGRO|4|BOULEVARD|EMILIANO ZAPATA|SIN NÚMERO|0|7|COLONIA|GUERRERO NEGRO CENTRO|23940|ENTRE DURANGO Y ADOLFO LOPEZ MATEOS|1|EN OPERACION|SSI220901JS5|6151572890||||01/01/2008|01/09/2008|||||||||||IMB|SERVICIOS DE SALUD IMSS BIENESTAR |1|PRIMER NIVEL|2|URBANO|6|SIN MODIFICACION|1|PROPIO|ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TTRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.|27.9677547|-114.0458563|A|ALTA|18/07/2024|ESTABLECIMIENTO QUE PERTENECÍA A SECRETARIA DE SALUD DEL ESTADO, SE TRANSFIERE A SERVICIOS DE SALUD IMSS BIENESTAR.|||
